         2755 function calls (2740 primitive calls) in 7.772 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1725    6.742    0.004    6.742    0.004 {method 'recv' of '_socket.socket' objects}
        1    1.028    1.028    1.030    1.030 {method 'connect' of '_socket.socket' objects}
        1    0.000    0.000    0.002    0.002 /Library/Frameworks/Python.framework/Versions/3.4/lib/python3.4/encodings/__init__.py:69(search_function)
        1    0.000    0.000    0.002    0.002 {built-in method __import__}
      4/1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap>:2211(_find_and_load)
      4/1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap>:2184(_find_and_load_unlocked)
      4/1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap>:1186(_load_unlocked)
      2/1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap>:1122(_exec)
      2/1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap>:1442(exec_module)
      4/1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap>:313(_call_with_frames_removed)
        1    0.000    0.000    0.002    0.002 /Library/Frameworks/Python.framework/Versions/3.4/lib/python3.4/encodings/idna.py:3(<module>)
      2/1    0.000    0.000    0.002    0.002 {built-in method exec}
        1    0.000    0.000    0.001    0.001 /Library/Frameworks/Python.framework/Versions/3.4/lib/python3.4/re.py:273(_compile)
        1    0.000    0.000    0.001    0.001 /Library/Frameworks/Python.framework/Versions/3.4/lib/python3.4/re.py:217(compile)
        1    0.000    0.000    0.001    0.001 /Library/Frameworks/Python.framework/Versions/3.4/lib/python3.4/sre_compile.py:460(compile)
        1    0.000    0.000    0.001    0.001 /Library/Frameworks/Python.framework/Versions/3.4/lib/python3.4/sre_compile.py:445(_code)
        2    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.4/lib/python3.4/sre_compile.py:172(_compile_charset)
        2    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.4/lib/python3.4/sre_compile.py:201(_optimize_charset)
        1    0.000    0.000    0.001    0.001 /Library/Frameworks/Python.framework/Versions/3.4/lib/python3.4/sre_compile.py:341(_compile_info)
        1    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.4/lib/python3.4/stringprep.py:6(<module>)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:2124(_find_spec)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1156(_load_backward_compatible)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:534(_check_name_wrapper)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1685(load_module)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1911(find_spec)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1879(_get_spec)
        2    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.4/lib/python3.4/sre_compile.py:307(_bytes_to_codes)
        2    0.000    0.000    0.000    0.000 {built-in method load_dynamic}
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1993(find_spec)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1511(get_code)
        1    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.4/lib/python3.4/sre_compile.py:33(_compile)
        1    0.000    0.000    0.000    0.000 {method 'write' of '_io.BufferedWriter' objects}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:654(_compile_bytecode)
        2    0.000    0.000    0.000    0.000 {built-in method loads}
       53    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:50(_path_join)
        1    0.000    0.000    0.000    0.000 {built-in method open}
        5    0.000    0.000    0.000    0.000 {built-in method __build_class__}
        2    0.000    0.000    0.000    0.000 {built-in method print}
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:68(_path_stat)
       17    0.000    0.000    0.000    0.000 {built-in method stat}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1099(create)
       53    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:52(<listcomp>)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1598(get_data)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1019(init_module_attrs)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:261(__enter__)
        1    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.4/lib/python3.4/sre_parse.py:738(parse)
        2    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.4/lib/python3.4/sre_compile.py:302(_mk_bitmap)
        1    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.4/lib/python3.4/sre_parse.py:353(_parse_sub)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:437(cache_from_source)
        2    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.4/lib/python3.4/sre_compile.py:304(<listcomp>)
        1    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.4/lib/python3.4/sre_parse.py:431(_parse)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:274(_get_module_lock)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:824(cached)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1988(_get_spec)
        1    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.4/lib/python3.4/socket.py:246(close)
       49    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:78(_path_is_mode_type)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:87(_path_isfile)
